Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
1,43,43,5.1395348837209305,43,43,5.1395348837209305
2,38,38,5.368421052631579,81,81,5.246913580246914
3,47,47,4.531914893617022,128,128,4.984375
4,49,49,4.714285714285714,177,177,4.909604519774011
5,46,46,4.739130434782608,223,223,4.874439461883408
6,46,46,4.608695652173913,269,269,4.828996282527881
7,40,40,6.35,309,309,5.02588996763754
8,40,40,5.5,349,349,5.080229226361031
9,0,0,0,0,0,0
10,12,12,6.0,12,12,6.0
